P,ThetaAvg,Theta99,Theta999,PsiAvg,Psi99,Psi999
2,2.036464,61.0,96.0,0.062,2.0,5.0
3,2.602373,71.0,98.0,0.0673,2.0,5.0
4,0.243585,5.0,11.0,0.073903,2.0,5.0
5,0.150073,4.0,7.0,0.078416,3.0,6.0
6,0.102096,3.0,5.0,0.086092,3.0,6.0
7,0.075647,2.0,5.0,0.094282,3.0,6.0
8,0.059092,2.0,4.0,0.103886,3.0,6.0
9,0.045663,2.0,4.0,0.119321,4.0,7.0
10,0.037884,1.0,3.0,0.13508,4.0,7.0
11,0.031694,1.0,3.0,0.157968,4.0,8.0
12,0.028302,1.0,3.0,0.183521,5.0,9.0
13,0.024969,1.0,3.0,0.22409,6.0,10.0
14,0.022976,1.0,3.0,0.274069,6.0,11.0
15,0.020461,1.0,2.0,0.350859,7.0,12.0
16,0.019084,1.0,2.0,0.459407,9.0,14.0
17,0.017708,1.0,2.0,0.654125,11.0,18.0
18,0.016253,1.0,2.0,1.202402,18.0,30.0
