P,ThetaAvg,Theta99,Theta999,PsiAvg,Psi99,Psi999
2,1.733619,59.0,96.0,0.079995,3.0,5.0
3,1.104664,31.0,91.0,0.0851,3.0,5.0
4,0.143962,4.0,8.0,0.087558,3.0,5.0
5,0.087264,3.0,6.0,0.096801,3.0,6.0
6,0.057212,2.0,4.0,0.104557,3.0,6.0
7,0.042484,2.0,4.0,0.116054,3.0,6.0
8,0.031982,1.0,3.0,0.128302,4.0,7.0
9,0.026014,1.0,3.0,0.149162,4.0,7.0
10,0.021722,1.0,3.0,0.167737,4.0,8.0
11,0.018259,1.0,2.0,0.195203,5.0,8.0
12,0.016737,1.0,2.0,0.234021,5.0,9.0
13,0.014305,1.0,2.0,0.278549,6.0,10.0
14,0.013431,1.0,2.0,0.348914,7.0,11.0
15,0.01238,0.0,2.0,0.442863,8.0,13.0
16,0.011449,0.0,2.0,0.599284,10.0,15.0
17,0.010618,0.0,2.0,0.925039,13.0,24.0
18,0.009884,0.0,2.0,1.771138,22.0,35.0
