P,aoii_avg,aoii_99,aoii_999,mse_avg,mse_99,mse_999
2,1.311277,59.0,96.0,1.959653,8.4795,13.0115
3,0.984733,40.0,94.0,2.053429,8.8155,13.5895
4,0.078584,2.0,6.0,2.120078,9.0735,13.9195
5,0.054998,2.0,4.0,2.245301,9.6715,14.8585
6,0.0421,2.0,4.0,2.40545,10.4925,16.2665
7,0.033311,1.0,3.0,2.586436,11.3735,17.7255
8,0.027535,1.0,3.0,2.813889,12.4715,19.6205
9,0.023419,1.0,3.0,3.073787,13.7825,21.7075
10,0.020422,1.0,3.0,3.401977,15.4905,24.6105
11,0.017756,1.0,2.0,3.843666,17.7375,28.7095
12,0.015925,1.0,2.0,4.557498,21.6365,34.9525
13,0.014247,1.0,2.0,5.367437,26.1665,42.2975
14,0.012693,0.0,2.0,6.506219,32.7385,53.4705
15,0.011841,0.0,2.0,8.072625,42.2715,69.1765
16,0.01113,0.0,2.0,10.277163,55.8885,85.5835
17,0.010298,0.0,2.0,13.384635,73.5935,95.7485
18,0.009563,0.0,2.0,17.586211,87.5635,98.5895
