abs_rate,PPS,CRA,MAF
1.000396935754178,0.072082,0.104257,0.102308
1.116974149862859,0.076952,0.117066,0.115787
1.2364511758906649,0.087172,0.127074,0.129029
1.3585506227244015,0.096667,0.135563,0.138331
1.4830287583331094,0.106206,0.151337,0.15007
1.609670559048644,0.112448,0.166244,0.161095
1.7382856076041613,0.122638,0.173986,0.175625
1.8687046748932967,0.132983,0.184396,0.187506
2.000776856094949,0.139061,0.199555,0.199697
2.1343671590401234,0.150731,0.21756,0.212612
2.2693544636458034,0.159514,0.224954,0.22389
2.4056297874757844,0.166692,0.236182,0.236862
2.543094805158927,0.178258,0.257305,0.250884
2.68166057935277,0.186513,0.269706,0.262808
2.8212464688112644,0.196841,0.277324,0.274856
2.9617791853787736,0.20458,0.291323,0.286905
3.103191976741448,0.214446,0.306548,0.29938
3.245423915796751,0.226544,0.32105,0.310673
3.3884192807599343,0.239234,0.333197,0.323452
3.532127012773514,0.242076,0.341956,0.337483
3.6765002399459594,0.252993,0.361915,0.35041
3.8214958585183796,0.262192,0.372552,0.359676
3.967074163317112,0.272399,0.382282,0.376028
4.113198520856031,0.277235,0.396562,0.386382
4.259835079454997,0.290364,0.405868,0.395652
4.406952511575328,0.299108,0.425004,0.410814
4.554521784270836,0.309872,0.437157,0.421194
4.7025159542395905,0.315578,0.448584,0.436036
4.850909984454672,0.327084,0.463099,0.447006
4.999680579768989,0.334098,0.475972,0.459068
