delta_F,PPS,CRA,MAF
-0.11,13.5105,21.4855,19.8225
-0.105,13.4625,21.4365,19.8185
-0.1,12.6905,21.3815,19.8185
-0.095,12.5205,21.3355,19.8105
-0.09,12.0955,21.2615,19.8075
-0.085,12.0535,21.1785,19.8015
-0.08,11.7145,21.1215,19.7915
-0.075,11.3865,21.0485,19.7845
-0.07,11.0095,20.9715,19.7845
-0.065,10.6305,20.9265,19.7775
-0.06,10.7665,20.8405,19.7715
-0.055,10.2595,20.7765,19.7585
-0.05,10.2495,20.6795,19.7575
-0.045,9.9825,20.6055,19.7415
-0.04,10.0425,20.5845,19.7445
-0.035,9.6065,20.5215,19.7345
-0.03,9.4415,20.4365,19.7495
-0.025,8.8695,19.3705,19.7605
-0.02,8.2795,19.3225,19.7525
-0.015,8.5795,19.2585,19.7525
-0.01,7.9235,19.2165,19.7585
-0.005,7.9985,19.1885,19.7515
0.0,7.9045,19.0485,19.7675
0.005,8.0505,19.1925,19.7705
0.01,8.2025,19.2165,19.7565
0.015,8.7385,19.3255,19.7455
0.02,8.0225,19.2535,19.7705
0.025,8.0845,19.4355,19.7935
0.03,8.9705,19.6145,19.7995
0.035,9.0625,19.5595,19.8075
0.04,9.3215,19.9755,19.8165
0.045,9.5305,19.9875,19.8605
0.05,9.8045,20.1905,19.9005
0.055,10.1125,20.4815,19.9685
0.06,11.1875,21.1525,20.0625
0.065,11.7855,21.6535,20.1455
0.07,12.4635,22.4175,20.2315
0.075,13.4025,23.6195,20.3445
0.08,14.9385,25.0485,20.5005
0.085,16.7855,27.6345,20.6885
0.09,20.2025,31.4105,20.9095
0.095,26.3055,37.3415,21.1615
0.1,41.2435,44.7215,21.4375
0.105,90.3175,57.4765,21.8105
0.11,99.3315,69.3965,22.2735
