delta_F,PPS,CRA,MAF
-0.11,1.733829,1.587947,1.492998
-0.105,1.720548,1.586353,1.492389
-0.1,1.671027,1.584665,1.491784
-0.095,1.644339,1.582883,1.491186
-0.09,1.606385,1.581003,1.490592
-0.085,1.590462,1.580289,1.490004
-0.08,1.535336,1.578207,1.489422
-0.075,1.50883,1.576033,1.488846
-0.07,1.475349,1.573935,1.488277
-0.065,1.444516,1.571596,1.487717
-0.06,1.4412,1.569191,1.487165
-0.055,1.392035,1.566735,1.486624
-0.05,1.382961,1.564247,1.486096
-0.045,1.366894,1.561752,1.485584
-0.04,1.361596,1.55962,1.485091
-0.035,1.311703,1.557188,1.484622
-0.03,1.301535,1.554857,1.484181
-0.025,1.236229,1.534525,1.483777
-0.02,1.166179,1.531681,1.483418
-0.015,1.18971,1.530218,1.483113
-0.01,1.128415,1.528815,1.482877
-0.005,1.129566,1.523632,1.482722
0.0,1.125378,1.524437,1.482667
0.005,1.129937,1.529166,1.482735
0.01,1.131398,1.528929,1.48295
0.015,1.1319,1.531435,1.483344
0.02,1.138928,1.530781,1.48395
0.025,1.144166,1.539535,1.484814
0.03,1.160681,1.540092,1.485983
0.035,1.172165,1.546323,1.487515
0.04,1.187772,1.555014,1.489476
0.045,1.207943,1.567549,1.491946
0.05,1.240593,1.576245,1.495014
0.055,1.283392,1.59779,1.498786
0.06,1.335416,1.61907,1.503385
0.065,1.390291,1.648034,1.508953
0.07,1.453798,1.689099,1.515657
0.075,1.538269,1.729556,1.523691
0.08,1.664878,1.785419,1.533286
0.085,1.830797,1.857827,1.544715
0.09,2.094746,1.949186,1.558303
0.095,2.546945,2.064327,1.574446
0.1,3.541323,2.221839,1.593629
0.105,7.581808,2.441825,1.616454
0.11,14.271446,2.67794,1.643688
