sigma_w_hat,PPS,CRA,MAF
0.05,82.9965,75.8655,68.2015
0.1,37.8355,68.7115,65.3915
0.15,29.5445,67.4175,64.6565
0.2,27.7115,63.7735,64.2415
0.25,27.2815,62.7735,64.0105
0.3,28.2985,63.5095,63.9085
0.35,27.5545,62.9065,63.8365
0.4,27.7615,62.8095,63.8435
0.45,27.2355,63.0915,63.8555
0.5,27.6745,62.6465,63.8395
0.55,27.0425,62.8065,63.8675
0.6,27.7265,62.4885,63.8445
0.65,27.7675,62.9835,63.8615
0.7,28.1175,63.1645,63.8715
0.75,27.6675,62.7405,63.8455
0.8,27.8595,62.7475,63.8465
0.85,27.1385,62.5745,63.8535
0.9,27.8905,62.9935,63.8615
0.95,28.2095,62.7155,63.8705
1.0,27.7655,63.0695,63.8825
