sigma_w,PPS,CRA,MAF
0.0,0.0005,0.0005,0.0005
0.05,1.8365,4.3965,5.1125
0.1,2.7135,6.4135,6.9615
0.15,3.9565,9.6755,10.0295
0.2,5.6595,13.7645,14.3045
0.25,7.9045,19.0485,19.7675
0.3,11.2425,25.8705,26.4135
0.35,14.2905,33.3835,34.2735
0.4,18.3185,42.3555,43.3885
0.45,22.3345,52.5605,53.5425
0.5,27.6745,62.6465,63.8395
0.55,32.4015,72.7575,73.8615
0.6,39.2305,80.6005,81.7245
0.65,45.9225,87.0335,87.3365
0.7,53.4415,90.9965,90.9315
0.75,60.0265,93.3735,93.6575
0.8,68.1295,95.4535,95.1155
0.85,74.0375,96.5545,96.3845
0.9,81.7515,97.2905,97.2055
0.95,87.5855,97.8605,97.8045
1.0,91.0955,98.1995,98.1135
