sigma_w,PPS,CRA,MAF
0.0,0.0005,0.0005,0.0005
0.05,0.241494,0.292651,0.31023
0.1,0.367873,0.469572,0.475183
0.15,0.540784,0.733135,0.722524
0.2,0.793691,1.081077,1.057428
0.25,1.125378,1.524437,1.482667
0.3,1.531419,2.070249,1.999649
0.35,2.014707,2.702598,2.609099
0.4,2.563201,3.434273,3.310928
0.45,3.188988,4.266417,4.103943
0.5,3.888171,5.174202,4.984228
0.55,4.662331,6.197563,5.944974
0.6,5.503986,7.271864,6.974898
0.65,6.418126,8.414897,8.062865
0.7,7.434502,9.64131,9.19728
0.75,8.47243,10.84414,10.364976
0.8,9.609665,12.113337,11.555182
0.85,10.839951,13.38238,12.759943
0.9,12.081138,14.653436,13.962402
0.95,13.388687,15.908262,15.161584
1.0,14.743658,17.157187,16.344695
