rate,MAF,FSA,AFSA,PPS
1.0,9.0,1.0,19.0,1.0
1.0999999999999999,9.0,1.0,20.0,1.0
1.2,9.0,1.0,21.0,1.0
1.2999999999999998,9.0,1.0,22.0,1.0
1.3999999999999997,9.0,1.0,22.0,1.0
1.4999999999999996,9.0,1.0,23.0,1.0
1.5999999999999994,9.0,2.0,24.0,2.0
1.6999999999999995,9.0,2.0,24.0,2.0
1.7999999999999996,9.0,2.0,25.0,2.0
1.8999999999999992,9.0,2.0,26.0,2.0
1.9999999999999991,9.0,2.0,27.0,2.0
2.099999999999999,9.0,2.0,27.0,2.0
2.1999999999999993,9.0,3.0,28.0,3.0
2.299999999999999,9.0,3.0,29.0,3.0
2.3999999999999986,9.0,3.0,30.0,3.0
2.4999999999999987,9.0,4.0,30.0,3.0
2.5999999999999988,9.0,38.0,31.0,4.0
2.699999999999999,9.0,68.0,32.0,4.0
2.7999999999999985,9.0,82.0,33.0,4.0
2.8999999999999986,9.0,95.0,33.0,5.0
2.9999999999999987,9.0,98.0,34.0,5.0
3.0999999999999988,9.0,100.0,35.0,6.0
3.199999999999998,9.0,100.0,35.0,7.0
3.299999999999998,9.0,100.0,36.0,7.0
3.399999999999998,9.0,100.0,37.0,8.0
3.4999999999999982,9.0,100.0,38.0,8.0
3.599999999999998,9.0,100.0,91.0,9.0
3.6999999999999975,9.0,100.0,95.0,10.0
3.799999999999998,9.0,100.0,97.0,10.0
3.8999999999999977,9.0,100.0,98.0,11.0
3.9999999999999973,9.0,100.0,98.0,11.0
4.099999999999997,9.0,100.0,99.0,12.0
4.1999999999999975,9.0,100.0,100.0,12.0
4.299999999999997,9.0,100.0,100.0,13.0
4.399999999999998,9.0,100.0,100.0,14.0
4.499999999999997,9.0,100.0,100.0,14.0
4.599999999999997,9.0,100.0,100.0,14.0
4.6999999999999975,9.0,100.0,100.0,15.0
4.799999999999996,9.0,100.0,100.0,15.0
4.899999999999997,9.0,100.0,100.0,15.0
4.9999999999999964,9.0,100.0,100.0,16.0
