rate,MAF,FSA,AFSA,PPS
1.0,0.16183,0.001655,0.240251,0.001705
1.0999999999999999,0.17755,0.00206,0.269619,0.002121
1.2,0.193166,0.002567,0.299462,0.002636
1.2999999999999998,0.209003,0.003142,0.329978,0.003231
1.3999999999999997,0.224899,0.003772,0.362662,0.003927
1.4999999999999996,0.239799,0.004473,0.395851,0.004786
1.5999999999999994,0.25546,0.005328,0.43187,0.005737
1.6999999999999995,0.270778,0.006331,0.4679,0.006674
1.7999999999999996,0.285742,0.007458,0.505862,0.007856
1.8999999999999992,0.300701,0.008738,0.546025,0.009179
1.9999999999999991,0.315886,0.010257,0.587354,0.01092
2.099999999999999,0.330977,0.012028,0.631795,0.012942
2.1999999999999993,0.346107,0.013938,0.676504,0.015196
2.299999999999999,0.360974,0.016435,0.723493,0.018595
2.3999999999999986,0.375959,0.019186,0.773445,0.022312
2.4999999999999987,0.39047,0.022428,0.825068,0.026903
2.5999999999999988,0.40545,0.108147,0.876249,0.03304
2.699999999999999,0.420132,0.187431,0.933601,0.040731
2.7999999999999985,0.435004,0.314495,0.987421,0.05022
2.8999999999999986,0.449532,0.928294,1.044281,0.062733
2.9999999999999987,0.464373,2.274675,1.104225,0.080567
3.0999999999999988,0.478829,5.328447,1.168014,0.104666
3.199999999999998,0.493229,7.679009,1.231856,0.134443
3.299999999999998,0.507426,11.750451,1.296877,0.167411
3.399999999999998,0.521472,15.408342,1.371052,0.206613
3.4999999999999982,0.536053,18.545287,1.444464,0.264442
3.599999999999998,0.550612,21.25234,2.064661,0.330727
3.6999999999999975,0.564541,23.329633,2.460407,0.399498
3.799999999999998,0.578842,25.43366,3.194305,0.494571
3.8999999999999977,0.593176,26.917376,3.663482,0.583818
3.9999999999999973,0.607016,28.774295,4.098693,0.688755
4.099999999999997,0.620737,30.177074,4.945665,0.800537
4.1999999999999975,0.634788,31.465814,7.094886,0.890386
4.299999999999997,0.648978,32.608278,10.828198,1.009969
4.399999999999998,0.662781,33.548305,13.537062,1.168954
4.499999999999997,0.676863,34.30089,16.722,1.30383
4.599999999999997,0.690469,35.024926,20.218252,1.416157
4.6999999999999975,0.704253,35.80334,22.192947,1.558475
4.799999999999996,0.717669,36.360039,24.938727,1.661929
4.899999999999997,0.731516,36.825294,28.030431,1.819462
4.9999999999999964,0.744886,37.472203,30.812771,1.937182
